Title,genre,director,publication date,publisher
Men at Work,buddy film,Emilio Estévez,1990-01-01,
Witchery,zombie film,Fabrizio Laurenti,1988-12-01,
Magic Kitchen,romantic comedy,Li Chi-ngai,2004-01-01,
The 5th Quarter,biographical film,,2010-01-01,
Díra u Hanušovic,comedy film,Miroslav Krobot,2014-07-08,
"I, Olga Hepnarová",biographical film,Petr Kazda,2016-02-11,
Big Eyes,biographical film,Tim Burton,2014-01-01,
Pee Mak,romantic comedy,Banjong Pisanthanakun,2013-03-28,
An Earthly Paradise For The Eyes,comedy film,Irena Pavlásková,2009-01-01,
Ip Man: The Final Fight,biographical film,Herman Yau,2013-01-01,
Let's Get Lost,documentary film,Bruce Weber,1988-09-15,
Badges of Fury,crime thriller,,2013-06-21,
Christopher Tin,,,,
The Bait,crime film,Bertrand Tavernier,1995-01-01,
Don't Go Breaking My Heart,romantic comedy,Wai Ka-Fai,2011-01-01,
Akame 48 Waterfalls,drama,Genjiro Arato,2003-10-25,
Christ Stopped at Eboli,film based on literature,Francesco Rosi,1979-01-01,
Kagero-za,independent film,Seijun Suzuki,1981-08-21,
A True Mob Story,crime film,Wong Jing,1998-01-01,
Shanghai Grand,crime film,Poon Man-kit,1996-01-01,
Chromophobia,drama,Martha Fiennes,2005-01-01,
Lee Rock,crime film,Lawrence Ah Mon,1991-01-01,
